order_id,order_date,customer_id,product_id,quantity,unit_price,region
O1002,2024-01-01,C002,P010,1,"$1,099.00",West
O1003,2024-01-01,C003,P003,6,3.50,North
O2001,01/02/2024,C012,P001,3,24.99,East
O2002,2024-01-02,C013,P005,2,12.00,South
O2003,1704153600,C014,P007,1,49.95,West
O2004,2024-01-02,C015,P010,-1,"$1,099.00",West
O2005,2024-01-02,,P002,5,8.99,North
O2006,2024-01-02,C016,P003,2,3.50,east
O2007,2024-01-02,C017,P011,1,19.99,South
O2008,2024-01-02,C018,P008,4,9.99,East
O2009,2024-01-02,C019,P004,2,
O2010,2024-01-02,C020,P006,3,7.50,West
